,縣市,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,車位數,總樓層數temp,總樓層數-轉換
299,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區正光二街２０９號九樓,29.54,住,,,1101119,土地1建物1車位2,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101005,237.25,0,0,0,無,有,26000000,118102,坡道平面,49.7,3850000,,RPQOMLPLJHHGFAH77DA,106.19,10.8,13.19,有,,2.0,十四,14
300,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區正光二街２１３號十二樓,24.79,住,,,1101001,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101005,182.17000000000002,0,0,0,無,有,20087916,116247,坡道平面,24.85,1800000,預售屋、或土地及建物分件登記案件；,RPROMLPLJHHGFAH87DA,89.84,5.88,13.51,有,,1.0,十四,14
301,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區正光二街２２３號十一樓,29.54,住,,,1100804,土地1建物1車位2,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101005,236.78,0,0,0,無,有,22480000,100919,坡道平面,49.7,3600000,110年10月23日增購一車位預售屋、或土地及建物分件登記案件；,RPXOMLQLJHHGFAH58DA,106.19,10.8,13.19,有,,2.0,十四,14
302,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區正光二街２２３號十三樓,29.54,住,,,1101217,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101005,211.94,0,0,0,無,有,22230000,108932,坡道平面,24.85,1850000,,RPOPMLQLJHHGFAH77DA,106.19,10.8,13.19,有,,1.0,十四,14
303,桃園市,桃園區,房地(土地+建物),桃園市桃園區國鼎一街５號三樓之３,7.78,住,,,1101229,土地1建物1車位0,三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840120,69.49,2,1,1,有,有,3300000,47489,,0.0,0,,RPOSMLSKJHHGFAH18DA,44.12,1.23,6.02,有,,0.0,十六,16
304,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區民有五街９４號八樓,15.84,住,,,1110113,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891128,152.04,2,2,2,有,有,10500000,69061,坡道平面,33.03,0,陽台外推；,RPQNMLLLJHHGFAH27DA,79.64,0.0,11.17,有,,1.0,十三,13
306,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區經國路２０８巷１６號五樓,16.21,住,,,1110105,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040930,125.28,2,1,1,有,有,11680000,93231,坡道平面,0.0,0,,RPSNMLMLJHHGFAH57DA,58.1,0.0,2.93,有,105.0,1.0,十三,13
316,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區慈文路５２２號十樓,24.32,住,,,1090704,土地2建物1車位1,十層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100813,178.27,3,2,2,有,有,15280000,89687,坡道平面,25.75,1600000,預售屋、或土地及建物分件登記案件；,RPVQMLRLRHGGFAH76DA,91.22,0.0,10.79,有,,1.0,二十三,23
318,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區大有路６３０之４號七樓,16.48,住,,,1101226,土地1建物1車位1,七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820820,196.84,4,2,2,有,有,10600000,53851,坡道平面,0.0,0,,RPPNMLKKJHHGFAH96DA,148.49,0.79,17.94,有,,1.0,二十三,23
319,桃園市,桃園區,房地(土地+建物),桃園市桃園區大有路５４０號十四樓,5.11,住,,,1101215,土地1建物1車位0,十四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840419,48.75,1,1,1,有,有,3180000,65231,,0.0,0,,RPSQMLMLJHHGFAH87DA,38.58,0.0,1.8,有,,0.0,十九,19
320,桃園市,桃園區,房地(土地+建物)+車位,桃園市桃園區正光二街２１５號十二樓,28.94,住,,,1100114,土地1建物1車位2,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101005,233.39999999999998,0,0,0,無,有,25960000,120087,坡道平面,49.7,3900000,預售屋、或土地及建物分件登記案件；,RPXNMLPLJHHGFAH38DA,102.95,10.76,13.84,有,,2.0,十四,14
